Mono path[0] = '/usr/local/games/Steam Games/steamapps/steamapps/common/Hollow Knight/hollow_knight_Data/Managed'
Mono config path = '/usr/local/games/Steam Games/steamapps/steamapps/common/Hollow Knight/hollow_knight_Data/MonoBleedingEdge/etc'
Preloaded 'libsteam_api.so'
Display 0 '0': 1920x1080 (primary device).
Desktop is 1920 x 1080 @ 60 Hz
[Vulkan init] extensions: count=20
Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of Run Effects prefabs, Instantiating an additional one.

Couldn't find current scene object!

Object Pool attached to GlobalPool has run out of Audio Player NoDestroy prefabs, Instantiating an additional one.

Setting up 4 worker threads for Enlighten.
  Thread -> id: 7efba98446c0 -> priority: 1 
  Thread -> id: 7efba90436c0 -> priority: 1 
  Thread -> id: 7efba88426c0 -> priority: 1 
  Thread -> id: 7efba80416c0 -> priority: 1 
Shutting down Steam API.

Vulkan PSO: data extracted [new size=156888, old size=0, incomplete=0]
Vulkan PSO: Saved size[156888] path[/tmp/Team Cherry/Hollow Knight/vulkan_pso_cache.bin] success=1 headerChanged=1 sizeChanged=1
Waiting on threads to park on joinable thread list timed out.
